SQL> SELECT TRUNC(completion_time,'HH24') AS time, ROUND(SUM(blocks * block_size)/1024/1024,2) AS size_mb, ROUND(SUM(blocks * block_size)/1024/1024/1024,2) AS size_gb
  2  FROM v$archived_log GROUP BY TRUNC(completion_time,'HH24') ORDER BY 1 DESC;

TIME             SIZE_MB    SIZE_GB                                             
2016-06-28 07      76.21        .07                                             
2016-06-28 06    1394.79       1.36                                             
2016-06-28 05      96.43        .09                                             
2016-06-28 04     130.33        .13                                             
2016-06-28 03     2822.6       2.76                                             
2016-06-28 02    6075.83       5.93                                             
2016-06-28 01    3793.31        3.7                                             
2016-06-28 00    2774.87       2.71                                             
2016-06-27 23    2213.41       2.16                                             
2016-06-27 22      250.3        .24                                             
2016-06-27 21     613.74         .6                                             
2016-06-27 20    1117.38       1.09                                             
2016-06-27 19     830.19        .81                                             
2016-06-27 18     387.17        .38                                             
2016-06-27 17     823.01         .8                                             
2016-06-27 16    1695.07       1.66                                             
2016-06-27 15    1472.57       1.44                                             
2016-06-27 14      87.43        .09                                             
2016-06-27 13     109.03        .11                                             
2016-06-27 12     117.77        .12                                             
2016-06-27 11     177.06        .17                                             
2016-06-27 10      41.68        .04                                             
2016-06-27 09     195.77        .19                                             
2016-06-27 08      11.68        .01                                             
2016-06-27 07     115.82        .11                                             
2016-06-27 06     104.71         .1                                             
2016-06-27 05    1100.97       1.08                                             
2016-06-27 04        7.7        .01                                             
2016-06-27 03      10.55        .01                                             
2016-06-27 02       9.26        .01                                             
2016-06-27 01       9.36        .01                                             
2016-06-27 00       9.34        .01                                             
2016-06-26 23       9.59        .01                                             
2016-06-26 22      13.84        .01                                             
2016-06-26 21         77        .08                                             
2016-06-26 20     302.75         .3                                             
2016-06-26 19      13.17        .01                                             
2016-06-26 18      21.47        .02                                             
2016-06-26 17      28.81        .03                                             
2016-06-26 16      33.85        .03                                             
2016-06-26 15     121.72        .12                                             
2016-06-26 14      99.98         .1                                             
2016-06-26 13      24.29        .02                                             
2016-06-26 12       72.7        .07                                             
2016-06-26 11      65.85        .06                                             
2016-06-26 10      15.56        .02                                             
2016-06-26 09       9.97        .01                                             
2016-06-26 08      78.57        .08                                             
2016-06-26 07      41.76        .04                                             
2016-06-26 06      18.64        .02                                             
2016-06-26 05       9.86        .01                                             
2016-06-26 04      44.45        .04                                             
2016-06-26 03     746.56        .73                                             
2016-06-26 02   10894.76      10.64                                             
2016-06-26 01   10781.65      10.53                                             
2016-06-26 00    2825.74       2.76                                             
2016-06-25 23    1202.12       1.17                                             
2016-06-25 22    1085.76       1.06                                             
2016-06-25 21      42.44        .04                                             
2016-06-25 20      63.45        .06                                             
2016-06-25 19     193.93        .19                                             
2016-06-25 18     878.64        .86                                             
2016-06-25 17     473.26        .46                                             
2016-06-25 16     771.59        .75                                             
2016-06-25 15     130.38        .13                                             
2016-06-25 14      77.42        .08                                             
2016-06-25 13     108.79        .11                                             
2016-06-25 12     218.48        .21                                             
2016-06-25 11     148.43        .14                                             
2016-06-25 10      50.99        .05                                             
2016-06-25 09      36.44        .04                                             
2016-06-25 08    3764.73       3.68                                             
2016-06-25 07      10.93        .01                                             
2016-06-25 06      10.43        .01                                             
2016-06-25 05    1963.06       1.92                                             
2016-06-25 04    2004.36       1.96                                             
2016-06-25 03    7109.59       6.94                                             
2016-06-25 02    2013.99       1.97                                             
2016-06-25 01     7593.5       7.42                                             
2016-06-25 00     9803.6       9.57                                             
2016-06-24 23    4578.67       4.47                                             
2016-06-24 22      197.7        .19                                             
2016-06-24 21     187.38        .18                                             
2016-06-24 20     550.69        .54                                             
2016-06-24 19     290.81        .28                                             
2016-06-24 18     697.13        .68                                             
2016-06-24 17     643.13        .63                                             
2016-06-24 16    1652.44       1.61                                             
2016-06-24 15     301.27        .29                                             
2016-06-24 14     287.48        .28                                             
2016-06-24 13    1333.76        1.3                                             
2016-06-24 12     220.86        .22                                             
2016-06-24 11     234.63        .23                                             
2016-06-24 10      74.68        .07                                             
2016-06-24 09      42.71        .04                                             
2016-06-24 08      30.19        .03                                             
2016-06-24 07      10.37        .01                                             
2016-06-24 06       10.3        .01                                             
2016-06-24 05        5.6        .01                                             
2016-06-24 04    1730.54       1.69                                             
2016-06-24 03    2094.62       2.05                                             
2016-06-24 02    9710.42       9.48                                             
2016-06-24 01    2612.27       2.55                                             
2016-06-24 00     533.21        .52                                             
2016-06-23 23     885.18        .86                                             
2016-06-23 22     917.55         .9                                             
2016-06-23 21      45.68        .04                                             
2016-06-23 20     565.65        .55                                             
2016-06-23 19     1114.4       1.09                                             
2016-06-23 18    1038.85       1.01                                             
2016-06-23 17      588.1        .57                                             
2016-06-23 16      374.9        .37                                             
2016-06-23 15      728.2        .71                                             
2016-06-23 14     205.51         .2                                             
2016-06-23 13     263.34        .26                                             
2016-06-23 12     461.88        .45                                             
2016-06-23 11     380.93        .37                                             
2016-06-23 10     178.56        .17                                             
2016-06-23 09      47.32        .05                                             
2016-06-23 08      39.87        .04                                             
2016-06-23 07      10.75        .01                                             
2016-06-23 06      10.29        .01                                             
2016-06-23 05       6.57        .01                                             
2016-06-23 04      63.46        .06                                             
2016-06-23 03      10.22        .01                                             
2016-06-23 02      99.39         .1                                             
2016-06-23 01    4667.67       4.56                                             
2016-06-23 00   11708.45      11.43                                             
2016-06-22 23    4634.45       4.53                                             
2016-06-22 22     648.45        .63                                             
2016-06-22 21     351.49        .34                                             
2016-06-22 20    2072.65       2.02                                             
2016-06-22 19    1258.86       1.23                                             
2016-06-22 18     743.19        .73                                             
2016-06-22 17    1575.98       1.54                                             
2016-06-22 16     187.87        .18                                             
2016-06-22 15      147.2        .14                                             
2016-06-22 14     113.33        .11                                             
2016-06-22 13     675.44        .66                                             
2016-06-22 12     329.37        .32                                             
2016-06-22 11     288.52        .28                                             
2016-06-22 10      55.87        .05                                             
2016-06-22 09      23.96        .02                                             
2016-06-22 08      10.04        .01                                             
2016-06-22 07      19.81        .02                                             
2016-06-22 06     396.01        .39                                             
2016-06-22 05     451.83        .44                                             
2016-06-22 04    6388.58       6.24                                             
2016-06-22 03       8471       8.27                                             
2016-06-22 02    2142.01       2.09                                             
2016-06-22 01    3424.92       3.34                                             
2016-06-22 00   14764.76      14.42                                             
2016-06-21 23    6166.93       6.02                                             
2016-06-21 22     1891.2       1.85                                             
2016-06-21 21     695.55        .68                                             
2016-06-21 20    2379.43       2.32                                             
2016-06-21 19    3863.86       3.77                                             
2016-06-21 18     438.12        .43                                             
2016-06-21 17     503.29        .49                                             
2016-06-21 16     226.76        .22                                             
2016-06-21 15     188.17        .18                                             
2016-06-21 14     146.85        .14                                             
2016-06-21 13     189.66        .19                                             
2016-06-21 12     434.51        .42                                             
2016-06-21 11     274.76        .27                                             
2016-06-21 10         71        .07                                             
2016-06-21 09      84.65        .08                                             
2016-06-21 08     484.49        .47                                             
2016-06-21 07       61.9        .06                                             
2016-06-21 06     505.85        .49                                             
2016-06-21 05       10.1        .01                                             
2016-06-21 04      23.38        .02                                             
2016-06-21 03     709.79        .69                                             
2016-06-21 02    3219.55       3.14                                             
2016-06-21 01   27016.79      26.38                                             
2016-06-21 00   21991.91      21.48                                             
2016-06-20 23    1173.46       1.15                                             
2016-06-20 22    3382.33        3.3                                             
2016-06-20 21     899.12        .88                                             
2016-06-20 20    3075.43          3                                             
2016-06-20 19    1795.18       1.75                                             
2016-06-20 18    2176.11       2.13                                             
2016-06-20 17    3550.74       3.47                                             
2016-06-20 16    1231.34        1.2                                             
2016-06-20 15     452.75        .44                                             
2016-06-20 14     600.96        .59                                             
2016-06-20 13     208.65         .2                                             
2016-06-20 12     282.05        .28                                             
2016-06-20 11      166.1        .16                                             
2016-06-20 10     147.65        .14                                             
2016-06-20 09    4438.43       4.33                                             
2016-06-20 08    3521.73       3.44                                             
2016-06-20 07      13.81        .01                                             
2016-06-20 06      12.62        .01                                             
2016-06-20 05      12.53        .01                                             
2016-06-20 04      12.44        .01                                             
2016-06-20 03      12.68        .01                                             
2016-06-20 02      12.56        .01                                             
2016-06-20 01       6.41        .01                                             
2016-06-20 00      12.66        .01                                             
2016-06-19 23      12.67        .01                                             
2016-06-19 22     878.85        .86                                             
2016-06-19 21       14.1        .01                                             
2016-06-19 20      24.18        .02                                             
2016-06-19 19      23.78        .02                                             
2016-06-19 18      38.49        .04                                             
2016-06-19 17      83.55        .08                                             
2016-06-19 16      36.62        .04                                             
2016-06-19 15      46.91        .05                                             
2016-06-19 14       47.6        .05                                             
2016-06-19 13       30.7        .03                                             
2016-06-19 12      73.39        .07                                             
2016-06-19 11      66.34        .06                                             
2016-06-19 10      14.63        .01                                             
2016-06-19 09       14.8        .01                                             
2016-06-19 08      15.19        .01                                             
2016-06-19 07     451.78        .44                                             
2016-06-19 06      17.93        .02                                             
2016-06-19 05      76.28        .07                                             
2016-06-19 04    2043.28          2                                             
2016-06-19 03    4179.77       4.08                                             
2016-06-19 02   15970.74       15.6                                             
2016-06-19 01    6466.54       6.31                                             
2016-06-19 00       5593       5.46                                             
2016-06-18 23     785.68        .77                                             
2016-06-18 22    1032.99       1.01                                             
2016-06-18 21     342.05        .33                                             
2016-06-18 20     3484.8        3.4                                             
2016-06-18 19    2939.52       2.87                                             
2016-06-18 18    1621.66       1.58                                             
2016-06-18 17       1370       1.34                                             
2016-06-18 16     974.84        .95                                             
2016-06-18 15     874.54        .85                                             
2016-06-18 14     973.81        .95                                             
2016-06-18 13     670.53        .65                                             
2016-06-18 12     168.25        .16                                             
2016-06-18 11     242.22        .24                                             
2016-06-18 10      176.7        .17                                             
2016-06-18 09      84.62        .08                                             
2016-06-18 08     150.18        .15                                             
2016-06-18 07     336.26        .33                                             
2016-06-18 06      23.25        .02                                             
2016-06-18 05      26.62        .03                                             
2016-06-18 04     686.82        .67                                             
2016-06-18 03     2869.6        2.8                                             
2016-06-18 02     7715.4       7.53                                             
2016-06-18 01   25440.19      24.84                                             
2016-06-18 00    9197.59       8.98                                             
2016-06-17 23     164.42        .16                                             
2016-06-17 22    6948.97       6.79                                             
2016-06-17 21    2162.38       2.11                                             
2016-06-17 20     4269.4       4.17                                             
2016-06-17 19    4578.02       4.47                                             
2016-06-17 18     455.77        .45                                             
2016-06-17 17    1365.25       1.33                                             
2016-06-17 16     259.36        .25                                             
2016-06-17 15     126.94        .12                                             
2016-06-17 14     173.56        .17                                             
2016-06-17 13    1813.87       1.77                                             
2016-06-17 12     185.19        .18                                             
2016-06-17 11     468.52        .46                                             
2016-06-17 10     228.47        .22                                             
2016-06-17 09       21.3        .02                                             
2016-06-17 08      21.25        .02                                             
2016-06-17 07       19.5        .02                                             
2016-06-17 06      19.19        .02                                             
2016-06-17 05      13.22        .01                                             
2016-06-17 04      495.3        .48                                             
2016-06-17 03    2827.62       2.76                                             
2016-06-17 02   15939.96      15.57                                             
2016-06-17 01   17819.41       17.4                                             
2016-06-17 00    7741.08       7.56                                             
2016-06-16 23     1889.5       1.85                                             
2016-06-16 22    2901.26       2.83                                             
2016-06-16 21    3287.86       3.21                                             
2016-06-16 20    3187.13       3.11                                             
2016-06-16 19    1509.22       1.47                                             
2016-06-16 18    4572.48       4.47                                             
2016-06-16 17     814.14         .8                                             
2016-06-16 16    1960.77       1.91                                             
2016-06-16 15    1451.44       1.42                                             
2016-06-16 14     998.26        .97                                             
2016-06-16 13     954.13        .93                                             
2016-06-16 12    2981.56       2.91                                             
2016-06-16 11     184.38        .18                                             
2016-06-16 10     288.15        .28                                             
2016-06-16 09     247.05        .24                                             
2016-06-16 08     209.76         .2                                             
2016-06-16 07     141.67        .14                                             
2016-06-16 06     199.18        .19                                             
2016-06-16 05       5.22        .01                                             
2016-06-16 04      41.98        .04                                             
2016-06-16 03    4231.36       4.13                                             
2016-06-16 02   34734.09      33.92                                             
2016-06-16 01   20062.05      19.59                                             
2016-06-16 00    7152.29       6.98                                             
2016-06-15 23     664.85        .65                                             
2016-06-15 22     777.91        .76                                             
2016-06-15 21     108.68        .11                                             
2016-06-15 20    4587.46       4.48                                             
2016-06-15 19    3032.38       2.96                                             
2016-06-15 18    2285.65       2.23                                             
2016-06-15 17    1865.78       1.82                                             
2016-06-15 16     391.66        .38                                             
2016-06-15 15      96.17        .09                                             
2016-06-15 14     1973.2       1.93                                             
2016-06-15 13     3397.7       3.32                                             
2016-06-15 12    2473.69       2.42                                             
2016-06-15 11    8761.38       8.56                                             
2016-06-15 10    3586.87        3.5                                             
2016-06-15 09     855.41        .84                                             
2016-06-15 08  110563.77     107.97                                             
2016-06-15 07     9673.5       9.45                                             
2016-06-15 06      12.55        .01                                             
2016-06-15 05  113432.92     110.77                                             
2016-06-15 04   46028.42      44.95                                             
2016-06-15 03   82771.42      80.83                                             
2016-06-15 02    2066.84       2.02                                             
2016-06-15 01    4105.86       4.01                                             
2016-06-15 00   16549.26      16.16                                             
2016-06-14 23   10295.26      10.05                                             
2016-06-14 22    3561.95       3.48                                             
2016-06-14 21     1394.2       1.36                                             
2016-06-14 20     259.49        .25                                             
2016-06-14 19    3438.15       3.36                                             
2016-06-14 18    1711.92       1.67                                             
2016-06-14 17    8447.72       8.25                                             
2016-06-14 16    1039.64       1.02                                             
2016-06-14 15     336.59        .33                                             
2016-06-14 14     557.15        .54                                             
2016-06-14 13     221.08        .22                                             
2016-06-14 12     162.62        .16                                             
2016-06-14 11      92.67        .09                                             
2016-06-14 10    2564.03        2.5                                             
2016-06-14 09     204.51         .2                                             
2016-06-14 08      42.38        .04                                             
2016-06-14 07      20.55        .02                                             
2016-06-14 06      33.32        .03                                             
2016-06-14 05      23.79        .02                                             
2016-06-14 04     103.24         .1                                             
2016-06-14 03    1589.04       1.55                                             
2016-06-14 02    1128.99        1.1                                             
2016-06-14 01    9845.58       9.61                                             
2016-06-14 00   14029.05       13.7                                             
2016-06-13 23   22835.52       22.3                                             
2016-06-13 22   30051.34      29.35                                             
2016-06-13 21   30360.28      29.65                                             
2016-06-13 20    37470.5      36.59                                             
2016-06-13 19    37566.2      36.69                                             
2016-06-13 18   39038.99      38.12                                             
2016-06-13 17   41251.41      40.28                                             
2016-06-13 16  119538.69     116.74                                             
2016-06-13 15    3541.41       3.46                                             
2016-06-13 14    1337.82       1.31                                             
2016-06-13 13    2388.25       2.33                                             
2016-06-13 12     599.71        .59                                             
2016-06-13 11     278.89        .27                                             
2016-06-13 10      73.02        .07                                             
2016-06-13 09     9795.7       9.57                                             
2016-06-13 08   35618.47      34.78                                             
2016-06-13 07    25018.6      24.43                                             
2016-06-13 06   41394.39      40.42                                             
2016-06-13 05   43424.45      42.41                                             
2016-06-13 04  119141.66     116.35                                             
2016-06-13 03   12573.11      12.28                                             
2016-06-13 02     419.16        .41                                             
2016-06-13 01   29004.78      28.32                                             
2016-06-13 00   95185.32      92.95                                             
2016-06-12 23       7.07        .01                                             
2016-06-12 22      10.08        .01                                             
2016-06-12 21      34.37        .03                                             
2016-06-12 20     115.74        .11                                             
2016-06-12 19     802.21        .78                                             
2016-06-12 18    1843.29        1.8                                             
2016-06-12 17    5595.71       5.46                                             
2016-06-12 16      25.67        .03                                             
2016-06-12 15     245.89        .24                                             
2016-06-12 14     687.63        .67                                             
2016-06-12 13   19011.73      18.57                                             
2016-06-12 12   171038.8     167.03                                             
2016-06-12 11  224633.79     219.37                                             
2016-06-12 10  148286.62     144.81                                             
2016-06-12 09     972.99        .95                                             
2016-06-12 08  264185.64     257.99                                             
2016-06-12 07  372343.78     363.62                                             
2016-06-12 06  367360.72     358.75                                             
2016-06-12 05       3.94          0                                             
2016-06-12 04     368.23        .36                                             
2016-06-12 03     244714     238.98                                             
2016-06-12 02  150139.47     146.62                                             

540 rows selected.

SQL> spool off;
